indicator_id,indicator_name,sub_indicator_id,question_number_within_indicator,question,response_type,option_value,option_label,points
access_to_electricity,Access to Electricity,band_a_shares,1,Band A Share of Feeders,percentage_band,70-100,70-100% (4),4
access_to_electricity,Access to Electricity,band_a_shares,1,Band A Share of Feeders,percentage_band,50-69,50-69% (3),3
access_to_electricity,Access to Electricity,band_a_shares,1,Band A Share of Feeders,percentage_band,30-49,30-49% (2),2
access_to_electricity,Access to Electricity,band_a_shares,1,Band A Share of Feeders,percentage_band,10-29,10-29% (1),1
access_to_electricity,Access to Electricity,band_a_shares,1,Band A Share of Feeders,percentage_band,0-10,0-10% (0),0
access_to_electricity,Access to Electricity,state_owned_electricity_regulator,2,State Owned Electricity Regulation,yes_no_transition,yes,Yes (6),6
access_to_electricity,Access to Electricity,state_owned_electricity_regulator,2,State Owned Electricity Regulation,yes_no_transition,transition,Transition (3),3
access_to_electricity,Access to Electricity,state_owned_electricity_regulator,2,State Owned Electricity Regulation,yes_no_transition,no,No (0),0
infrastructure,Infrastructure,renewable_energy_evs_cng,1,Renewable Energy (Launch of State's EVs and CNG Transport Solutions),yes_no,yes,Yes,2
infrastructure,Infrastructure,renewable_energy_evs_cng,1,Renewable Energy (Launch of State's EVs and CNG Transport Solutions),yes_no,no,No,0
infrastructure,Infrastructure,airport_cargo_functional,2,Airport/Cargo Airport (Functional),yes_no,yes,Yes,2
infrastructure,Infrastructure,airport_cargo_functional,2,Airport/Cargo Airport (Functional),yes_no,no,No,0
infrastructure,Infrastructure,railway,3,Rail Line (Functional),yes_no,yes,Yes,2
infrastructure,Infrastructure,railway,3,Rail Line (Functional),yes_no,no,No,0
digital_connectivity,Digital Connectivity,right_of_way,1,Right of Way (RoW) fees,multi_choice,free,Free,2
digital_connectivity,Digital Connectivity,right_of_way,1,Right of Way (RoW) fees,multi_choice,reduced-price,Reduced Price,1
digital_connectivity,Digital Connectivity,right_of_way,1,Right of Way (RoW) fees,multi_choice,full-price,Full Price,0
digital_connectivity,Digital Connectivity,gov_services_online,2,Availability of government services online,yes_partial_no,yes,Yes,2
digital_connectivity,Digital Connectivity,gov_services_online,2,Availability of government services online,yes_partial_no,partially,Partially,1
digital_connectivity,Digital Connectivity,gov_services_online,2,Availability of government services online,yes_partial_no,no,No,0
digital_connectivity,Digital Connectivity,coverage_5g,3,5G coverage,yes_no,yes,Yes,2
digital_connectivity,Digital Connectivity,coverage_5g,3,5G coverage,yes_no,no,No,0
land_registration,Land Registration,process_automation,1,Process type,multi_choice,automated,Automated,2
land_registration,Land Registration,process_automation,1,Process type,multi_choice,hybrid,Hybrid,1
land_registration,Land Registration,process_automation,1,Process type,multi_choice,manual,Manual,0
land_registration,Land Registration,certificate_time,2,Days for CofO,time_band,0-30-days,0–30 days,1
land_registration,Land Registration,certificate_time,2,Days for CofO,time_band,0-60-days,0–60 days,0.5
land_registration,Land Registration,certificate_time,2,Days for CofO,time_band,over-60-days,>60 days,0
land_registration,Land Registration,certificate_time,2,Days for CofO,time_band,not-available,Not Available,0
land_registration,Land Registration,procedures_availability,3,Procedure/fees publicly available,multi_choice,publicly-available-online,Procedure/Fees,1
land_registration,Land Registration,procedures_availability,3,Procedure/fees publicly available,multi_choice,either-fees-or-procedures,Procedure only,0.5
land_registration,Land Registration,procedures_availability,3,Procedure/fees publicly available,multi_choice,not-publicly-available,None,0
land_registration,Land Registration,gis_functionality,4,Availability of GIS,yes_no_variant,functional-gis-available,GIS available,2
land_registration,Land Registration,gis_functionality,4,Availability of GIS,yes_no_variant,no-functional-gis,No GIS,0
small_claims_courts,Small Claims Courts,number_of_courts,1,Number of SCCs established and actively sitting in main city,count_band,1-5,1-5,1
small_claims_courts,Small Claims Courts,number_of_courts,1,Number of SCCs established and actively sitting in main city,count_band,6-10,6-10,1.5
small_claims_courts,Small Claims Courts,number_of_courts,1,Number of SCCs established and actively sitting in main city,count_band,11-14,11-14,2
small_claims_courts,Small Claims Courts,number_of_courts,1,Number of SCCs established and actively sitting in main city,count_band,15-and-above,15 and above,3
small_claims_courts,Small Claims Courts,compliance_reporting,2,Compliance with publishing report,multi_choice,up-to-date,Up to date,2
small_claims_courts,Small Claims Courts,compliance_reporting,2,Compliance with publishing report,multi_choice,6-months-old,More than 6 months,1.5
small_claims_courts,Small Claims Courts,compliance_reporting,2,Compliance with publishing report,multi_choice,3-months-old,More than 3 months,1
small_claims_courts,Small Claims Courts,compliance_reporting,2,Compliance with publishing report,multi_choice,not-published,Not published,0
investor_aftercare_service,Investor Aftercare Service,designated_desk,1,Does the state have a designated investor aftercare desk/department?,yes_no,yes,Yes,2
investor_aftercare_service,Investor Aftercare Service,designated_desk,1,Does the state have a designated investor aftercare desk/department?,yes_no,no,No,0
workforce_development,Workforce Development and Social Infrastructure,social_security_systems,1,Does the state operate social security systems for vulnerable populations?,yes_no,yes,Yes,2
workforce_development,Workforce Development and Social Infrastructure,social_security_systems,1,Does the state operate social security systems for vulnerable populations?,yes_no,no,No,0
workforce_development,Workforce Development and Social Infrastructure,gender_inclusivity,2,Does the state meet the gender inclusivity benchmark?,yes_no,yes,Yes,1
workforce_development,Workforce Development and Social Infrastructure,gender_inclusivity,2,Does the state meet the gender inclusivity benchmark?,yes_no,no,No,0
crisis_resilience,Crisis Resilience and Business Continuity,emergency_agency,1,Does the state have a functional emergency management agency?,yes_no,yes,Yes,1
crisis_resilience,Crisis Resilience and Business Continuity,emergency_agency,1,Does the state have a functional emergency management agency?,yes_no,no,No,0
crisis_resilience,Crisis Resilience and Business Continuity,sema_funding,2,Is the SEMA or equivalent agency visibly funded in the current state budget?,yes_no,yes,Yes,2
crisis_resilience,Crisis Resilience and Business Continuity,sema_funding,2,Is the SEMA or equivalent agency visibly funded in the current state budget?,yes_no,no,No,0
