indicator_id,indicator_name,sub_indicator_id,question_number,question,response_type,all_options_with_points
access_to_electricity,Access to Electricity,band_a_shares,1,"Band A Share of Feeders",percentage_band,"70-100% (4) (4 pts) | 50-69% (3) (3 pts) | 30-49% (2) (2 pts) | 10-29% (1) (1 pts) | 0-10% (0) (0 pts)"
access_to_electricity,Access to Electricity,state_owned_electricity_regulator,2,"State Owned Electricity Regulation",yes_no_transition,"Yes (6) (6 pts) | Transition (3) (3 pts) | No (0) (0 pts)"
access_to_skilled_labour,Access to Skilled Labour,accredited_institutions,2,"How many accredited tertiary and technical institutions are available in the state?",count_band,"7 or more universities (1.5 pts) | 3 to 6 universities (1 pts) | 1 or 2 universities (0.5 pts) | No universities (0 pts)"
access_to_skilled_labour,Access to Skilled Labour,education_investment,1,"Post-secondary graduates relative to population",tier_band,"≫ average (733120+) (1.5 pts) | Above average (549840-733119) (1.25 pts) | Within average (366560-549839) (0.75 pts) | Minimum average (219936-366559) (0.5 pts) | Below average (<219936) (0 pts)"
contract_enforcement,Contract Enforcement and Commercial Dispute Resolution,alternative_dispute_resolution,2,"Does the state have ADR?",yes_no,"Yes (2.5 pts) | No (0 pts)"
contract_enforcement,Contract Enforcement and Commercial Dispute Resolution,commercial_court,1,"Does the state have a commercial court?",yes_no,"Yes (2.5 pts) | No (0 pts)"
crisis_resilience,Crisis Resilience and Business Continuity,emergency_agency,1,"Does the state have a functional emergency management agency?",yes_no,"Yes (1 pts) | No (0 pts)"
crisis_resilience,Crisis Resilience and Business Continuity,sema_funding,2,"Is the SEMA or equivalent agency visibly funded in the current state budget?",yes_no,"Yes (2 pts) | No (0 pts)"
digital_connectivity,Digital Connectivity,coverage_5g,3,"5G coverage",yes_no,"Yes (2 pts) | No (0 pts)"
digital_connectivity,Digital Connectivity,gov_services_online,2,"Availability of government services online",yes_partial_no,"Yes (2 pts) | Partially (1 pts) | No (0 pts)"
digital_connectivity,Digital Connectivity,right_of_way,1,"Right of Way (RoW) fees",multi_choice,"Free (2 pts) | Reduced Price (1 pts) | Full Price (0 pts)"
export_import_facilitation,Export-Import Facilitation,StateChamberOfCommerce,2,"Have state chamber of commerce",yes_no,"Yes (1 pts) | No (0 pts)"
export_import_facilitation,Export-Import Facilitation,totalExporters_perState,1,"Total number of exporters per state",count_band,"≥ 1000 (3 pts) | 500-999 (2 pts) | 100-499 (1 pts) | 0-99 (0 pts)"
getting_credit,Getting Credit,boi_collaboration,1,"Does the state collaborate with BOI or any federal Agency to create access to credit?",yes_no,"Yes (3 pts) | No (0 pts)"
getting_credit,Getting Credit,microfinance_banks,2,"Have owned microfinance banks or cooperatives?",yes_no,"Yes (2 pts) | No (0 pts)"
grievance_redress_mechanisms,Grievance Redress Mechanisms,accessibility_and_channels,2,"How accessible is the state's Grievance Redress Mechanism?",multi_choice,"Easily accessible via multiple channels (1 pts) | Difficult to find or access (0 pts)"
grievance_redress_mechanisms,Grievance Redress Mechanisms,centralized_grm,1,"Does the state have a centralized Grievance Redress Mechanism?",multi_choice,"Centralized GRM available (2 pts) | No centralized GRM (0 pts)"
infrastructure,Infrastructure,airport_cargo_functional,2,"Airport/Cargo Airport (Functional)",yes_no,"Yes (2 pts) | No (0 pts)"
infrastructure,Infrastructure,railway,3,"Rail Line (Functional)",yes_no,"Yes (2 pts) | No (0 pts)"
infrastructure,Infrastructure,renewable_energy_evs_cng,1,"Renewable Energy (Launch of State's EVs and CNG Transport Solutions)",yes_no,"Yes (2 pts) | No (0 pts)"
interstate_trade,Interstate Trade,haulage_fees,1,"Elimination of haulage fees via law/executive order and enforcement",yes_no,"Yes (2 pts) | No (0 pts)"
interstate_trade,Interstate Trade,state_owned_transport_assets,2,"""Presence of state owned airports, air carriers, rail, seaport and dry port (0, 1.5, 3 points)""",points_scale,"No state owned transport assets (0 pts) | Some presence (equivalent to 1.5 points) (1.5 pts) | Comprehensive presence (equivalent to 3 points) (3 pts)"
investor_aftercare_service,Investor Aftercare Service,designated_desk,1,"Does the state have a designated investor aftercare desk/department?",yes_no,"Yes (2 pts) | No (0 pts)"
land_registration,Land Registration,certificate_time,2,"Days for CofO",time_band,"0–30 days (1 pts) | 0–60 days (0.5 pts) | >60 days (0 pts) | Not Available (0 pts)"
land_registration,Land Registration,gis_functionality,4,"Availability of GIS",yes_no_variant,"GIS available (2 pts) | No GIS (0 pts)"
land_registration,Land Registration,procedures_availability,3,"Procedure/fees publicly available",multi_choice,"Procedure/Fees (1 pts) | Procedure only (0.5 pts) | None (0 pts)"
land_registration,Land Registration,process_automation,1,"Process type",multi_choice,"Automated (2 pts) | Hybrid (1 pts) | Manual (0 pts)"
market_access,Market Access and Competition,one_stop_shop,1,"Does the State have a one stop shop?",yes_no,"Yes (2 pts) | No (0 pts)"
market_access,Market Access and Competition,public_incentives,2,"Does the state have public incentives?",yes_no,"Yes (1 pts) | No (0 pts)"
paying_taxes,Paying Taxes,tax_filing_burden,2,"How burdensome is the tax filing process for taxpayers in the state?",multi_choice,"Automated or consolidated filing that reduces compliance effort (1 pts) | ""Manual, repetitive filing with high administrative burden"" (0 pts)"
paying_taxes,Paying Taxes,tax_incentive_transparency,3,"How transparent and accessible is the state's tax incentive and exemption framework?",multi_choice,"""Transparent, publicly accessible tax incentive programs"" (1 pts) | Unclear or opaque tax incentive framework (0 pts)"
paying_taxes,Paying Taxes,tax_payment_transparency,1,"How does the state facilitate tax payment collection and provide transaction transparency to taxpayers?",multi_choice,"Digital/hybrid with e-payment and automatic receipts (2 pts) | Manual/cash-based with limited transparency (0 pts)"
small_claims_courts,Small Claims Courts,compliance_reporting,2,"Compliance with publishing report",multi_choice,"Up to date (2 pts) | More than 6 months (1.5 pts) | More than 3 months (1 pts) | Not published (0 pts)"
small_claims_courts,Small Claims Courts,number_of_courts,1,"Number of SCCs established and actively sitting in main city",count_band,"1-5 (1 pts) | 6-10 (1.5 pts) | 11-14 (2 pts) | 15 and above (3 pts)"
workforce_development,Workforce Development and Social Infrastructure,gender_inclusivity,2,"Does the state meet the gender inclusivity benchmark?",yes_no,"Yes (1 pts) | No (0 pts)"
workforce_development,Workforce Development and Social Infrastructure,social_security_systems,1,"Does the state operate social security systems for vulnerable populations?",yes_no,"Yes (2 pts) | No (0 pts)"
